HI,SK,KUR,DSK,DKUR,Surface
0.369941094,0.589547656,2.455711968,0.243192042,1.734129294,model_fluvial
0.322593256,0.594937011,2.498702714,0.335521054,1.828573492,model_fluvial
0.358359886,0.549267266,2.406972694,0.366468886,1.67828472,model_fluvial
0.438630058,0.257850761,2.009427713,-0.468708306,1.552585067,model_fluvial
0.453014808,0.374072705,2.096798061,-0.079428899,1.423590019,model_fluvial
0.429682759,0.393738044,1.984135183,0.197235267,1.373980885,model_fluvial
0.475854826,0.411137634,2.188273775,-0.142170061,1.52059395,model_fluvial
0.522716572,0.29932263,1.969114844,-0.282138513,1.434648314,model_fluvial
0.373900562,0.47970661,2.074567313,0.446269225,1.589568108,model_fluvial
0.354120352,0.449453263,2.150973521,0.32260875,1.499994306,model_fluvial
0.471849547,0.398724714,2.08112288,-0.027548798,1.441095972,model_fluvial
0.349625619,0.629907833,2.506360513,0.300628262,1.653579273,model_fluvial
0.402136673,0.437333911,2.123635427,0.357808387,1.535729794,model_fluvial
0.248447804,0.749002452,2.835521703,0.777238653,2.403990328,model_fluvial
0.405584366,0.485797711,2.2020141,0.319031616,1.588171877,model_fluvial
0.503489051,0.401150928,2.082245863,-0.103564125,1.465383269,model_fluvial
0.467543773,0.297283521,1.96466563,-0.121587901,1.324976491,model_fluvial
0.41237119,0.493980052,2.320910951,0.053665763,1.582167568,model_fluvial
0.417148799,0.420990466,2.056198534,0.172158574,1.405357631,model_fluvial
0.3751,0.485033233,2.235536068,0.235487957,1.541317879,model_fluvial
0.436070643,0.456151297,2.230526256,-0.146521847,1.583927815,model_fluvial
0.472893759,0.375413133,2.031070949,-0.056565732,1.377707822,model_fluvial
0.491264401,0.32453207,2.018002449,-0.20435224,1.423148804,model_fluvial
0.437450613,0.270536775,1.937945688,-0.051294294,1.258346549,model_fluvial
0.436925365,0.481222218,2.177185231,0.22404286,1.564829898,model_fluvial
0.469305316,0.414932697,2.163289548,-0.062836634,1.496417227,model_fluvial
0.408053376,0.445430022,2.10880699,0.198425906,1.450445689,model_fluvial
0.438877022,0.435369746,2.215750626,-0.005934308,1.502300281,model_fluvial
